biosample_id,associated_study,material_processing_type,raw_data_file,processed_data_file,calibration_file,mass_spec_configuration_name,chromat_configuration_name,instrument_used,processing_institution,instrument_analysis_start_date,instrument_analysis_end_date,execution_resource,dms_name
nmdc:bsm-11-fmvr0890,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_17_AB_O_22.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_17_AB_O_22.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 16:40,1/15/18 17:17,EMSL-RZR,Blanch_Nat_Met_H_17_AB_O_22
nmdc:bsm-11-9nx64x91,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_11_AB_O_24.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_11_AB_O_24.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 17:23,1/15/18 18:00,EMSL-RZR,Blanch_Nat_Met_H_11_AB_O_24
nmdc:bsm-11-whgy3b08,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_19_AB_O_26.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_19_AB_O_26.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 18:05,1/15/18 18:42,EMSL-RZR,Blanch_Nat_Met_C_19_AB_O_26
nmdc:bsm-11-042nd237,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_7_AB_M_07.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_7_AB_M_07.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 18:48,1/15/18 19:25,EMSL-RZR,Blanch_Nat_Met_C_7_AB_M_07
nmdc:bsm-11-y52p4f86,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_4_AB_O_06.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_4_AB_O_06.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 19:31,1/15/18 20:08,EMSL-RZR,Blanch_Nat_Met_H_4_AB_O_06
nmdc:bsm-11-622k6044,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_12_AB_M_17.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_12_AB_M_17.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 20:14,1/15/18 20:51,EMSL-RZR,Blanch_Nat_Met_C_12_AB_M_17
nmdc:bsm-11-cwey4y35,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_32_AB_M_20.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_32_AB_M_20.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 20:56,1/15/18 21:33,EMSL-RZR,Blanch_Nat_Met_H_32_AB_M_20
nmdc:bsm-11-q0bxzb10,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_4_AB_M_08.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_4_AB_M_08.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 21:39,1/15/18 22:16,EMSL-RZR,Blanch_Nat_Met_C_4_AB_M_08
nmdc:bsm-11-65a4xw75,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_11_AB_M_13.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_11_AB_M_13.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 22:22,1/15/18 22:59,EMSL-RZR,Blanch_Nat_Met_H_11_AB_M_13
nmdc:bsm-11-efm5hh51,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_17_AB_M_18.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_17_AB_M_18.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 23:04,1/15/18 23:41,EMSL-RZR,Blanch_Nat_Met_H_17_AB_M_18
nmdc:bsm-11-127y7152,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_2_AB_O_15.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_2_AB_O_15.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/15/18 23:47,1/16/18 0:24,EMSL-RZR,Blanch_Nat_Met_H_2_AB_O_15
nmdc:bsm-11-7qaw2x10,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_4_AB_O_04.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_4_AB_O_04.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 1:12,1/16/18 1:49,EMSL-RZR,Blanch_Nat_Met_C_4_AB_O_04
nmdc:bsm-11-k4wb6c34,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_32_AB_O_19.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_32_AB_O_19.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 1:55,1/16/18 2:32,EMSL-RZR,Blanch_Nat_Met_H_32_AB_O_19
nmdc:bsm-11-4rx1wt74,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_14_AB_O_09.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_14_AB_O_09.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 2:38,1/16/18 3:15,EMSL-RZR,Blanch_Nat_Met_C_14_AB_O_09
nmdc:bsm-11-nq2tfm26,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_4_AB_M_05.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_4_AB_M_05.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 3:21,1/16/18 3:58,EMSL-RZR,Blanch_Nat_Met_H_4_AB_M_05
nmdc:bsm-11-xxvfda22,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_2_AB_M_23.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_2_AB_M_23.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 4:03,1/16/18 4:40,EMSL-RZR,Blanch_Nat_Met_H_2_AB_M_23
nmdc:bsm-11-gk0czc37,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_H_26_AB_M_12.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_H_26_AB_M_12.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 5:29,1/16/18 6:06,EMSL-RZR,Blanch_Nat_Met_H_26_AB_M_12
nmdc:bsm-11-pwa2h444,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_12_AB_O_25.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_12_AB_O_25.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 6:11,1/16/18 6:48,EMSL-RZR,Blanch_Nat_Met_C_12_AB_O_25
nmdc:bsm-11-m7z9y338,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_27_AB_O_21.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_27_AB_O_21.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 8:19,1/16/18 8:56,EMSL-RZR,Blanch_Nat_Met_C_27_AB_O_21
nmdc:bsm-11-93mc8g67,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_19_AB_M_16.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_19_AB_M_16.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 9:02,1/16/18 9:39,EMSL-RZR,Blanch_Nat_Met_C_19_AB_M_16
nmdc:bsm-11-frgt4x11,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_14_AB_M_27.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_14_AB_M_27.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 9:44,1/16/18 10:21,EMSL-RZR,Blanch_Nat_Met_C_14_AB_M_27
nmdc:bsm-11-cpekyy11,nmdc:sty-11-8ws97026,MPLEX,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/Blanch_Nat_Met_C_30_AB_M_14.cdf,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/processed_20250205/Blanch_Nat_Met_C_30_AB_M_14.csv,/Users/heal742/Library/CloudStorage/OneDrive-PNNL/Documents/_DMS_data/_NMDC/_blanchard_metabolomics/raw/GCMS_FAMEs_01_GCMS01_20180115.cdf,EMSL metabolomics GC/MS mass spectrometry method,EMSL GC method for metabolites,Agilent GC-MS (2009),EMSL,1/16/18 10:27,1/16/18 11:04,EMSL-RZR,Blanch_Nat_Met_C_30_AB_M_14