id,name,samp_name,gold_biosample_identifiers,insdc_biosample_identifiers
nmdc:bsm-11-rm4tg461,F7_A_BS,F7_A_BS,['gold:Gb0257531'],['biosample:SAMN18245673']
nmdc:bsm-11-hc871447,G13_A_BS,G13_A_BS,['gold:Gb0257515'],['biosample:SAMN18245174']
nmdc:bsm-11-ajqqpr16,A4_A_BS,A4_A_BS,['gold:Gb0257517'],['biosample:SAMN18247892']
nmdc:bsm-11-hfjyhq64,G1_B_BS,G1_B_BS,['gold:Gb0257536'],['biosample:SAMN18245782']
nmdc:bsm-11-8px2bb97,B8_A_BS,B8_A_BS,['gold:Gb0257537'],['biosample:SAMN18244784']
nmdc:bsm-11-ywames20,B10_A_BS,B10_A_BS,['gold:Gb0257513'],['biosample:SAMN18245750']
nmdc:bsm-11-r69hsp56,K6_A_BS,K6_A_BS,['gold:Gb0257527'],['biosample:SAMN18245745']
nmdc:bsm-11-251e0g86,A20_B_BS,A20_B_BS,['gold:Gb0257512'],['biosample:SAMN18244786']
nmdc:bsm-11-r0cne121,A10_A_BS,A10_A_BS,['gold:Gb0257529'],['biosample:SAMN18247986']
nmdc:bsm-11-m8q6sm18,G7_B_BS,G7_B_BS,['gold:Gb0257532'],['biosample:SAMN18244785']
nmdc:bsm-11-bea0n570,C17_B_BS,C17_B_BS,['gold:Gb0257524'],['biosample:SAMN18248536']
nmdc:bsm-11-e247fv35,B16_B_BS,B16_B_BS,['gold:Gb0257522'],['biosample:SAMN18248528']
nmdc:bsm-11-s2b8c589,D14_A_BS,D14_A_BS,['gold:Gb0257509'],['biosample:SAMN18245751']
nmdc:bsm-11-0ksnwp91,A26_B_BS,A26_B_BS,['gold:Gb0257518'],['biosample:SAMN18247678']
nmdc:bsm-11-dj3xhb53,H7_B_BS,H7_B_BS,['gold:Gb0257520'],['biosample:SAMN18246891']
nmdc:bsm-11-cf4nn421,E26_B_BS,E26_B_BS,['gold:Gb0257530'],['biosample:SAMN18245743']
nmdc:bsm-11-fhtz0q75,A25_A_BS,A25_A_BS,['gold:Gb0257521'],['biosample:SAMN18248380']
nmdc:bsm-11-qcm45k12,D23_B_BS,D23_B_BS,['gold:Gb0257526'],['biosample:SAMN18246368']
nmdc:bsm-11-4syar666,D23_A_BS,D23_A_BS,['gold:Gb0257525'],['biosample:SAMN18244762']
nmdc:bsm-11-p04t7c85,D25_B_BS,D25_B_BS,['gold:Gb0257534'],['biosample:SAMN18245557']
nmdc:bsm-11-j8jtmc07,J11_A_BS,J11_A_BS,['gold:Gb0257535'],['biosample:SAMN18245123']
nmdc:bsm-11-cdyyg786,G6_A_BS,G6_A_BS,['gold:Gb0257519'],['biosample:SAMN18245260']
nmdc:bsm-11-5fa8e571,C7_B_BS,C7_B_BS,['gold:Gb0257516'],['biosample:SAMN18245749']
nmdc:bsm-11-hvg66j43,C20_B_BS,C20_B_BS,['gold:Gb0257540'],['biosample:SAMN18246952']
nmdc:bsm-11-g0y46r33,K2_A_BS,K2_A_BS,['gold:Gb0257539'],['biosample:SAMN18245575']
nmdc:bsm-11-panc6z26,D20_B_BS,D20_B_BS,['gold:Gb0257514'],['biosample:SAMN18247843']
nmdc:bsm-11-gkapag88,K26_B_BS,K26_B_BS,['gold:Gb0257528'],['biosample:SAMN18245780']
nmdc:bsm-11-wcbsmc70,D2_B_BS,D2_B_BS,['gold:Gb0257510'],['biosample:SAMN18248384']
nmdc:bsm-11-r7q48p70,C1_A_BS,C1_A_BS,['gold:Gb0257533'],['biosample:SAMN18245131']
nmdc:bsm-11-7rab8123,I25_A_BS,I25_A_BS,['gold:Gb0257511'],['biosample:SAMN18245970']
nmdc:bsm-11-gstcmh46,C1_B_2_drought,C1_B_2_drought,['gold:Gb0306158'],
nmdc:bsm-11-v7jbqt45,D2_B_0_control,D2_B_0_control,['gold:Gb0306139'],
nmdc:bsm-11-ww5h0770,E25_B_7_drought,E25_B_7_drought,['gold:Gb0306221'],
nmdc:bsm-11-3qv14w45,I13_A_3_drought,I13_A_3_drought,['gold:Gb0306163'],
nmdc:bsm-11-mncsfj85,F14_A_4_drought,F14_A_4_drought,['gold:Gb0306181'],
nmdc:bsm-11-bmbcp998,C11_A_4_control,C11_A_4_control,['gold:Gb0306189'],
nmdc:bsm-11-w4tyzd28,F12_B_4_control,F12_B_4_control,['gold:Gb0306196'],
nmdc:bsm-11-mszxhy66,G5_B_2_control,G5_B_2_control,['gold:Gb0306153'],
nmdc:bsm-11-57vncq38,I5_B_0_control,I5_B_0_control,['gold:Gb0306140'],
nmdc:bsm-11-hn8bhn75,D14_A_3_control,D14_A_3_control,['gold:Gb0306168'],
nmdc:bsm-11-h1awsa61,C13_A_4_drought,C13_A_4_drought,['gold:Gb0306185'],
nmdc:bsm-11-r2mzxp10,I22_A_5_control,I22_A_5_control,['gold:Gb0306205'],
nmdc:bsm-11-6hf2pm82,I2_B_0_drought,I2_B_0_drought,['gold:Gb0306133'],
nmdc:bsm-11-ag2qyq93,F2_A_2_control,F2_A_2_control,['gold:Gb0306145'],
nmdc:bsm-11-5vz50b85,A25_A_5_drought,A25_A_5_drought,['gold:Gb0306201'],
nmdc:bsm-11-2kymjn43,B1_A_0_drought,B1_A_0_drought,['gold:Gb0306125'],
nmdc:bsm-11-hqkd3e25,D25_B_7_control,D25_B_7_control,['gold:Gb0306226'],
nmdc:bsm-11-ax8tca09,J25_A_7_control,J25_A_7_control,['gold:Gb0306261'],
nmdc:bsm-11-9fgqs731,J4_A_0_control,J4_A_0_control,['gold:Gb0306127'],
nmdc:bsm-11-e2w7mb26,J4_B_0_control,J4_B_0_control,['gold:Gb0306137'],
nmdc:bsm-11-br712t66,F4_A_2_drought,F4_A_2_drought,['gold:Gb0306149'],
nmdc:bsm-11-mz8y6g40,F22_B_5_drought,F22_B_5_drought,['gold:Gb0306215'],
nmdc:bsm-11-6j85hn65,J5_B_0_drought,J5_B_0_drought,['gold:Gb0306131'],
nmdc:bsm-11-df1mqz45,G24_A_5_control,G24_A_5_control,['gold:Gb0306204'],
nmdc:bsm-11-km2htj88,J12_A_4_control,J12_A_4_control,['gold:Gb0306190'],
nmdc:bsm-11-9bg5s227,H12_B_3_drought,H12_B_3_drought,['gold:Gb0306171'],
nmdc:bsm-11-zmx1nq19,G13_B_4_drought,G13_B_4_drought,['gold:Gb0306194'],
nmdc:bsm-11-fng5eh21,C13_B_4_drought,C13_B_4_drought,['gold:Gb0306195'],
nmdc:bsm-11-6mp6qm50,C11_B_4_control,C11_B_4_control,['gold:Gb0306199'],
nmdc:bsm-11-f254af30,E22_A_7_drought,E22_A_7_drought,['gold:Gb0306207'],
nmdc:bsm-11-he69ja63,G3_A_0_drought,G3_A_0_drought,['gold:Gb0306122'],
nmdc:bsm-11-2d0mzn96,H4_A_2_drought,H4_A_2_drought,['gold:Gb0306150'],
nmdc:bsm-11-5te06z38,F22_A_5_drought,F22_A_5_drought,['gold:Gb0306202'],
nmdc:bsm-11-z6kxrf72,I2_A_0_drought,I2_A_0_drought,['gold:Gb0306123'],
nmdc:bsm-11-1tk2ax67,B5_B_2_drought,B5_B_2_drought,['gold:Gb0306157'],
nmdc:bsm-11-jg9bry11,E14_B_4_drought,E14_B_4_drought,['gold:Gb0306192'],
nmdc:bsm-11-1sdkpz20,E22_B_7_drought,E22_B_7_drought,['gold:Gb0306220'],
nmdc:bsm-11-66znv653,F3_B_0_drought,F3_B_0_drought,['gold:Gb0306134'],
nmdc:bsm-11-rpmr0530,F2_B_2_control,F2_B_2_control,['gold:Gb0306155'],
nmdc:bsm-11-8r3eqh05,J12_B_4_control,J12_B_4_control,['gold:Gb0306253'],
nmdc:bsm-11-93y9wj40,I12_B_3_control,I12_B_3_control,['gold:Gb0306176'],
nmdc:bsm-11-zkxg0m20,J2_A_2_control,J2_A_2_control,['gold:Gb0306142'],
nmdc:bsm-11-hrkfxp73,I4_A_2_drought,I4_A_2_drought,['gold:Gb0306146'],
nmdc:bsm-11-mqrwmt95,G11_B_3_drought,G11_B_3_drought,['gold:Gb0306172'],
nmdc:bsm-11-weyrjm32,F14_B_4_drought,F14_B_4_drought,['gold:Gb0306191'],
nmdc:bsm-11-w4w0b844,E11_B_4_control,E11_B_4_control,['gold:Gb0306198'],
nmdc:bsm-11-t3g40h74,B5_A_2_drought,B5_A_2_drought,['gold:Gb0306147'],
nmdc:bsm-11-j5xa5t86,C22_A_7_drought,C22_A_7_drought,['gold:Gb0306206'],
nmdc:bsm-11-3n7fy723,C1_A_2_drought,C1_A_2_drought,['gold:Gb0306148'],
nmdc:bsm-11-snf9zn63,J2_B_2_control,J2_B_2_control,['gold:Gb0306152'],
nmdc:bsm-11-f9yzba97,H24_B_5_drought,H24_B_5_drought,['gold:Gb0306216'],
nmdc:bsm-11-bny18d49,C22_B_7_drought,C22_B_7_drought,['gold:Gb0306219'],
nmdc:bsm-11-2vkkra88,B12_A_3_control,B12_A_3_control,['gold:Gb0306244'],
nmdc:bsm-11-2px7mg21,J25_B_7_control,J25_B_7_control,['gold:Gb0306223'],
nmdc:bsm-11-2bnqye24,F11_A_3_drought,F11_A_3_drought,['gold:Gb0306165'],
nmdc:bsm-11-bq4d8j45,I14_B_4_control,I14_B_4_control,['gold:Gb0306197'],
nmdc:bsm-11-a51gg456,H24_A_5_drought,H24_A_5_drought,['gold:Gb0306203'],
nmdc:bsm-11-6s6nr025,C24_B_7_control,C24_B_7_control,['gold:Gb0306222'],
nmdc:bsm-11-rhh5sz73,F21_B_7_control,F21_B_7_control,['gold:Gb0306225'],
nmdc:bsm-11-7pxptb67,G5_A_2_control,G5_A_2_control,['gold:Gb0306143'],
nmdc:bsm-11-c7h21a27,C24_A_7_control,C24_A_7_control,['gold:Gb0306260'],
nmdc:bsm-11-2v2sz563,I4_B_2_drought,I4_B_2_drought,['gold:Gb0306156'],
nmdc:bsm-11-b8f5ma10,G24_B_5_control,G24_B_5_control,['gold:Gb0306217'],
nmdc:bsm-11-8t538t71,D2_A_0_control,D2_A_0_control,['gold:Gb0306129'],
nmdc:bsm-11-st7qqd05,D14_B_3_control,D14_B_3_control,['gold:Gb0306178'],
nmdc:bsm-11-h5ga6x49,G12_B_3_control,G12_B_3_control,['gold:Gb0306179'],
nmdc:bsm-11-rqktre19,I14_A_4_control,I14_A_4_control,['gold:Gb0306187'],
nmdc:bsm-11-ysjjwy53,J3_A_0_control,J3_A_0_control,['gold:Gb0306229'],
nmdc:bsm-11-f0yh5e84,F3_A_0_drought,F3_A_0_drought,['gold:Gb0306124'],
nmdc:bsm-11-qvc0wd96,G3_B_0_drought,G3_B_0_drought,['gold:Gb0306132'],
nmdc:bsm-11-7w0ggn04,G2_A_2_control,G2_A_2_control,['gold:Gb0306144'],
nmdc:bsm-11-5yg12p32,D15_A_3_drought,D15_A_3_drought,['gold:Gb0306164'],
nmdc:bsm-11-21kzd377,D15_B_3_drought,D15_B_3_drought,['gold:Gb0306174'],
nmdc:bsm-11-cenrja62,J5_A_0_drought,J5_A_0_drought,['gold:Gb0306121'],
nmdc:bsm-11-e579sp38,F4_B_2_drought,F4_B_2_drought,['gold:Gb0306159'],
nmdc:bsm-11-de1h1038,A25_B_5_drought,A25_B_5_drought,['gold:Gb0306214'],
nmdc:bsm-11-10kjq953,F12_A_4_control,F12_A_4_control,['gold:Gb0306186'],
nmdc:bsm-11-h5b3c036,I5_A_0_control,I5_A_0_control,['gold:Gb0306130'],
nmdc:bsm-11-hdj9m567,B1_B_0_drought,B1_B_0_drought,['gold:Gb0306135'],
nmdc:bsm-11-7b05ca84,I13_B_3_drought,I13_B_3_drought,['gold:Gb0306173'],
nmdc:bsm-11-p0v3kr82,G13_A_4_drought,G13_A_4_drought,['gold:Gb0306184'],
nmdc:bsm-11-8nreet90,D25_A_7_control,D25_A_7_control,['gold:Gb0306213'],
nmdc:bsm-11-66ea3523,J3_B_0_control,J3_B_0_control,['gold:Gb0306233'],
nmdc:bsm-11-wnb9rm55,H12_A_3_drought,H12_A_3_drought,['gold:Gb0306161'],
nmdc:bsm-11-6g8d5g69,I12_A_3_control,I12_A_3_control,['gold:Gb0306166'],
nmdc:bsm-11-kfkrbm38,F11_B_3_drought,F11_B_3_drought,['gold:Gb0306175'],
nmdc:bsm-11-7ac2z315,A15_B_4_drought,A15_B_4_drought,['gold:Gb0306193'],
nmdc:bsm-11-3amhct39,I11_A_3_control,I11_A_3_control,['gold:Gb0306170'],
nmdc:bsm-11-xdjvn828,E14_A_4_drought,E14_A_4_drought,['gold:Gb0306182'],
nmdc:bsm-11-nwj8z203,H21_B_7_control,H21_B_7_control,['gold:Gb0306224'],
nmdc:bsm-11-vnpvqq45,I11_B_3_control,I11_B_3_control,['gold:Gb0306180'],
nmdc:bsm-11-j9rx1b05,G11_A_3_drought,G11_A_3_drought,['gold:Gb0306162'],
nmdc:bsm-11-gf5nys45,I22_B_5_control,I22_B_5_control,['gold:Gb0306218'],
nmdc:bsm-11-vgwhkq38,G12_A_3_control,G12_A_3_control,['gold:Gb0306169'],
nmdc:bsm-11-jpqg7a86,E25_A_7_drought,E25_A_7_drought,['gold:Gb0306259'],
nmdc:bsm-11-p2nw7v16,E11_A_4_control,E11_A_4_control,['gold:Gb0306188'],
nmdc:bsm-11-337xtd94,H4_B_2_drought,H4_B_2_drought,['gold:Gb0306241'],
nmdc:bsm-11-p9qcnb33,A4_B_2_control,A4_B_2_control,['gold:Gb0306151'],
nmdc:bsm-11-jgxvpj85,A15_A_4_drought,A15_A_4_drought,['gold:Gb0306183'],
nmdc:bsm-11-wq1ssb19,D2_B_RS,D2_B_RS,['gold:Gb0257424'],['biosample:SAMN18245689']
nmdc:bsm-11-1xbttc28,J23_A_RS,J23_A_RS,['gold:Gb0257429'],['biosample:SAMN18247763']
nmdc:bsm-11-j2p42324,E14_A_RS,E14_A_RS,['gold:Gb0257451'],['biosample:SAMN18245261']
nmdc:bsm-11-68yca064,A25_B_RS,A25_B_RS,['gold:Gb0257450'],['biosample:SAMN18246374']
nmdc:bsm-11-94eryk25,D3_B_RS,D3_B_RS,['gold:Gb0257456'],['biosample:SAMN18246894']
nmdc:bsm-11-dhmd6k54,C26_A_RS,C26_A_RS,['gold:Gb0257459'],['biosample:SAMN18247557']
nmdc:bsm-11-pr0qyt98,A14_A_RS,A14_A_RS,['gold:Gb0257461'],['biosample:SAMN18245783']
nmdc:bsm-11-rzhdgn98,D10_B_RS,D10_B_RS,['gold:Gb0257496'],['biosample:SAMN18245688']
nmdc:bsm-11-zhcc7920,C19_B_RS,C19_B_RS,['gold:Gb0257436'],['biosample:SAMN18245687']
nmdc:bsm-11-s63qhq16,B14_B_RS,B14_B_RS,['gold:Gb0257500'],['biosample:SAMN18247988']
nmdc:bsm-11-60prtr07,C18_A_RS,C18_A_RS,['gold:Gb0257491'],['biosample:SAMN18247757']
nmdc:bsm-11-15t8c910,B8_A_RS,B8_A_RS,['gold:Gb0257497'],['biosample:SAMN18247985']
nmdc:bsm-11-em2mdw14,A20_B_RS,A20_B_RS,['gold:Gb0257414'],['biosample:SAMN18247756']
nmdc:bsm-11-b1y6te02,I5_B_RS,I5_B_RS,['gold:Gb0257422'],['biosample:SAMN18248531']
nmdc:bsm-11-5tenwe07,I5_A_RS,I5_A_RS,['gold:Gb0257421'],['biosample:SAMN18245773']
nmdc:bsm-11-n7dyg709,B14_A_RS,B14_A_RS,['gold:Gb0257499'],['biosample:SAMN18247982']
nmdc:bsm-11-f7knz045,C22_B_RS,C22_B_RS,['gold:Gb0257506'],['biosample:SAMN18246955']
nmdc:bsm-11-4ty8hc56,B10_B_RS,B10_B_RS,['gold:Gb0257428'],['biosample:SAMN18246897']
nmdc:bsm-11-6f3w5a24,H15_A_RS,H15_A_RS,['gold:Gb0257439'],['biosample:SAMN18245501']
nmdc:bsm-11-zdzsav28,D5_B_RS,D5_B_RS,['gold:Gb0257470'],['biosample:SAMN18247276']
nmdc:bsm-11-fz8whh51,D4_A_RS,D4_A_RS,['gold:Gb0257493'],['biosample:SAMN18247272']
nmdc:bsm-11-nkdtwq17,J25_B_RS,J25_B_RS,['gold:Gb0257476'],['biosample:SAMN18247762']
nmdc:bsm-11-qxk92e18,C24_A_RS,C24_A_RS,['gold:Gb0257443'],['biosample:SAMN18245685']
nmdc:bsm-11-3knwtf39,G6_A_RS,G6_A_RS,['gold:Gb0257447'],['biosample:SAMN18248537']
nmdc:bsm-11-kxgxz543,B21_B_RS,B21_B_RS,['gold:Gb0257464'],['biosample:SAMN18245677']
nmdc:bsm-11-vf095s14,E26_B_RS,E26_B_RS,['gold:Gb0257474'],['biosample:SAMN18245675']
nmdc:bsm-11-b2w08m36,D14_A_RS,D14_A_RS,['gold:Gb0257419'],['biosample:SAMN18246739']
nmdc:bsm-11-7n3qqg53,H15_B_RS,H15_B_RS,['gold:Gb0257440'],['biosample:SAMN18244943']
nmdc:bsm-11-ktszy273,E16_A_RS,E16_A_RS,['gold:Gb0257487'],['biosample:SAMN18247842']
nmdc:bsm-11-aawt7k41,D24_B_RS,D24_B_RS,['gold:Gb0257498'],['biosample:SAMN18246372']
nmdc:bsm-11-70jfyh19,E15_B_RS,E15_B_RS,['gold:Gb0257416'],['biosample:SAMN18246370']
nmdc:bsm-11-yatgrt20,E5_B_RS,E5_B_RS,['gold:Gb0257508'],['biosample:SAMN18246892']
nmdc:bsm-11-ahntv778,B25_B_RS,B25_B_RS,['gold:Gb0257426'],['biosample:SAMN18245785']
nmdc:bsm-11-djtnsb77,J2_A_RS,J2_A_RS,['gold:Gb0257471'],['biosample:SAMN18245262']
nmdc:bsm-11-46hxc029,D21_B_RS,D21_B_RS,['gold:Gb0257442'],['biosample:SAMN18244788']
nmdc:bsm-11-x29jay54,A21_A_RS,A21_A_RS,['gold:Gb0257489'],['biosample:SAMN18245781']
nmdc:bsm-11-9e7vbk29,H19_A_RS,H19_A_RS,['gold:Gb0257453'],['biosample:SAMN18248261']
nmdc:bsm-11-pjps7g10,J2_B_RS,J2_B_RS,['gold:Gb0257472'],['biosample:SAMN18247558']
nmdc:bsm-11-k8jfat94,I26_B_RS,I26_B_RS,['gold:Gb0257418'],['biosample:SAMN18244767']
nmdc:bsm-11-j7k3q740,B25_A_RS,B25_A_RS,['gold:Gb0257425'],['biosample:SAMN18246375']
nmdc:bsm-11-vck1ep80,L4_A_RS,L4_A_RS,['gold:Gb0257483'],['biosample:SAMN18247680']
nmdc:bsm-11-6s3yav56,J14_B_RS,J14_B_RS,['gold:Gb0257466'],['biosample:SAMN18245263']
nmdc:bsm-11-k4yw1329,C9_A_RS,C9_A_RS,['gold:Gb0257479'],['biosample:SAMN18245684']
nmdc:bsm-11-vrfgpx18,F7_B_RS,F7_B_RS,['gold:Gb0257482'],['biosample:SAMN18247759']
nmdc:bsm-11-5nm6eb33,E16_B_RS,E16_B_RS,['gold:Gb0257488'],['biosample:SAMN18244787']
nmdc:bsm-11-1v0qcq06,D14_B_RS,D14_B_RS,['gold:Gb0257420'],['biosample:SAMN18248534']
nmdc:bsm-11-sw8mzc35,H22_B_RS,H22_B_RS,['gold:Gb0257434'],['biosample:SAMN18247752']
nmdc:bsm-11-24k81r85,E14_B_RS,E14_B_RS,['gold:Gb0257452'],['biosample:SAMN18245257']
nmdc:bsm-11-xhvxfm76,G25_A_RS,G25_A_RS,['gold:Gb0257455'],['biosample:SAMN18248529']
nmdc:bsm-11-c2w22x73,J14_A_RS,J14_A_RS,['gold:Gb0257465'],['biosample:SAMN18247983']
nmdc:bsm-11-h8n55a64,F2_A_RS,F2_A_RS,['gold:Gb0257507'],['biosample:SAMN18245951']
nmdc:bsm-11-hxabxz21,D8_A_RS,D8_A_RS,['gold:Gb0257445'],['biosample:SAMN18247898']
nmdc:bsm-11-angxs239,G6_B_RS,G6_B_RS,['gold:Gb0257448'],['biosample:SAMN18247277']
nmdc:bsm-11-s7rhr240,A21_B_RS,A21_B_RS,['gold:Gb0257490'],['biosample:SAMN18247273']
nmdc:bsm-11-hgv0jm67,C24_B_RS,C24_B_RS,['gold:Gb0257444'],['biosample:SAMN18244780']
nmdc:bsm-11-fsh7mh73,D8_B_RS,D8_B_RS,['gold:Gb0257446'],['biosample:SAMN18244779']
nmdc:bsm-11-v4vbj852,A14_B_RS,A14_B_RS,['gold:Gb0257462'],['biosample:SAMN18245770']
nmdc:bsm-11-tebr8596,D12_A_RS,D12_A_RS,['gold:Gb0257431'],['biosample:SAMN18247980']
nmdc:bsm-11-jptwrr25,J25_A_RS,J25_A_RS,['gold:Gb0257475'],['biosample:SAMN18247897']
nmdc:bsm-11-fshx0w45,I25_A_RS,I25_A_RS,['gold:Gb0257417'],['biosample:SAMN18246369']
nmdc:bsm-11-n19hfe45,B6_B_RS,B6_B_RS,['gold:Gb0257478'],['biosample:SAMN18247760']
nmdc:bsm-11-pxx1my72,J3_B_RS,J3_B_RS,['gold:Gb0257458'],['biosample:SAMN18247748']
nmdc:bsm-11-192z8m20,D4_B_RS,D4_B_RS,['gold:Gb0257494'],['biosample:SAMN18248381']
nmdc:bsm-11-fagv0a57,J4_A_RS,J4_A_RS,['gold:Gb0257423'],['biosample:SAMN18246371']
nmdc:bsm-11-2gpb9b77,C19_A_RS,C19_A_RS,['gold:Gb0257435'],['biosample:SAMN18245784']
nmdc:bsm-11-8fmn2e36,B21_A_RS,B21_A_RS,['gold:Gb0257463'],['biosample:SAMN18247989']
nmdc:bsm-11-9y3nyf43,A26_B_RS,A26_B_RS,['gold:Gb0257438'],['biosample:SAMN18247761']
nmdc:bsm-11-fna74675,G4_A_RS,G4_A_RS,['gold:Gb0257457'],['biosample:SAMN18247987']
nmdc:bsm-11-gpcfk557,C22_A_RS,C22_A_RS,['gold:Gb0257505'],['biosample:SAMN18247758']
nmdc:bsm-11-qgmdj783,E17_A_RS,E17_A_RS,['gold:Gb0257501'],['biosample:SAMN18245683']
nmdc:bsm-11-jmr62x85,D21_A_RS,D21_A_RS,['gold:Gb0257441'],['biosample:SAMN18247852']
nmdc:bsm-11-r51g5529,C9_B_RS,C9_B_RS,['gold:Gb0257480'],['biosample:SAMN18247747']
nmdc:bsm-11-rcfbwk92,A26_A_RS,A26_A_RS,['gold:Gb0257437'],['biosample:SAMN18246896']
nmdc:bsm-11-ty5b9j97,D16_A_RS,D16_A_RS,['gold:Gb0257467'],['biosample:SAMN18246893']
nmdc:bsm-11-0k42k540,A9_A_RS,A9_A_RS,['gold:Gb0257427'],['biosample:SAMN18247894']
nmdc:bsm-11-vyfeqq59,A20_A_RS,A20_A_RS,['gold:Gb0257413'],['biosample:SAMN18247893']
